"TC ID","테스트 항목","대상","수행결과","관련 결함","비고","소요(ms)","파일"
"TC-API-CART-017","다른 회원의 장바구니 항목은 삭제할 수 없다","api","결함확인","BUG-010","BUG-010: 소유자 확인 없이 항상 204를 반환한다","87","api/04-cart.spec.ts"
"TC-API-CART-018","[경계값] 합산 결과가 상한(99)을 넘으면 거부되어야 한다","api","결함확인","BUG-016","BUG-016: 합산 시 수량 상한을 다시 검사하지 않아 99를 초과한 수량이 담긴다","50","api/04-cart.spec.ts"
"TC-API-CART-019","토큰 없이 GET /api/cart 를 호출하면 401을 반환한다","api","Pass","","","11","api/04-cart.spec.ts"
"TC-API-CART-020","토큰 없이 DELETE /api/cart/:itemId 를 호출하면 401을 반환한다","api","Pass","","","11","api/04-cart.spec.ts"
"TC-API-CART-021","[동등분할] 수량이 정수가 아니면 400을 반환한다","api","Pass","","","30","api/04-cart.spec.ts"
"TC-API-LOGIN-001","올바른 자격증명으로 로그인하면 200과 토큰을 반환한다","api","Pass","","","16","api/02-login.spec.ts"
"TC-API-LOGIN-002","비밀번호가 틀리면 401을 반환한다","api","Pass","","","20","api/02-login.spec.ts"
"TC-API-LOGIN-003","존재하지 않는 이메일이면 401을 반환한다","api","Pass","","","23","api/02-login.spec.ts"
"TC-API-LOGIN-004","[상태전이 T3] 4회 실패 후 성공하면 로그인되고 카운트가 초기화된다","api","Pass","","","65","api/02-login.spec.ts"
"TC-API-LOGIN-005","[상태전이 T2] 5회 연속 실패하면 계정이 잠긴다","api","결함확인","BUG-004","BUG-004: 실패 횟수는 누적되지만 잠금 상태를 확인하지 않아 계정이 잠기지 않는다","56","api/02-login.spec.ts"
"TC-API-LOGIN-006","[상태전이 T4] 잠긴 계정은 올바른 비밀번호로도 로그인할 수 없다","api","결함확인","BUG-004","BUG-004: 잠금 계정(locked@test.com)이 정상 로그인된다","32","api/02-login.spec.ts"
"TC-API-LOGOUT-001","로그아웃은 204를 반환한다","api","Pass","","","28","api/02-login.spec.ts"
"TC-API-LOGOUT-002","토큰 없이 로그아웃하면 401을 반환한다","api","Pass","","","13","api/02-login.spec.ts"
"TC-API-LOGOUT-003","로그아웃한 토큰은 재사용할 수 없다","api","결함확인","BUG-005","BUG-005: 로그아웃 시 세션을 무효화하지 않아 토큰이 계속 유효하다","27","api/02-login.spec.ts"
"TC-API-ORDER-001","[경계값] 주문금액이 최소주문금액과 정확히 같으면 쿠폰이 적용된다","api","결함확인","BUG-011","BUG-011: 최소주문금액 비교를 초과(>)로 하여 정확히 같은 금액이 거부된다","36","api/05-order.spec.ts"
"TC-API-ORDER-002","정률 할인액은 원 단위로 절사되어 결제금액에 소수점이 남지 않는다","api","결함확인","BUG-012","BUG-012: 정률 할인액을 절사하지 않아 결제금액에 소수점이 남는다","32","api/05-order.spec.ts"
"TC-API-ORDER-003","할인액이 주문금액보다 커도 결제금액은 0원 미만이 되지 않는다","api","Pass","","","35","api/05-order.spec.ts"
"TC-API-ORDER-004","주문하면 재고가 주문 수량만큼 차감된다","api","Pass","","","41","api/05-order.spec.ts"
"TC-API-ORDER-005","재고가 부족하면 409이고 재고는 차감되지 않는다","api","결함확인","BUG-014","BUG-014: 주문 시 재고를 확인하지 않고 차감하여 재고가 음수가 된다","36","api/05-order.spec.ts"
"TC-API-ORDER-006","[데이터 무결성] 어떤 주문을 해도 재고는 음수가 되지 않는다","api","결함확인","BUG-014","BUG-014: 재고 미확인 차감으로 재고가 음수로 저장된다","41","api/05-order.spec.ts"
"TC-API-ORDER-007","주문이 완료되면 장바구니가 비워진다","api","Pass","","","34","api/05-order.spec.ts"
"TC-API-ORDER-008","주문 내역에는 본인 주문만 최신순으로 조회된다","api","Pass","","","44","api/05-order.spec.ts"
"TC-API-ORDER-009","토큰 없이 주문하면 401을 반환한다","api","Pass","","","11","api/05-order.spec.ts"
"TC-API-ORDER-010","토큰 없이 주문내역을 조회하면 401을 반환한다","api","Pass","","","9","api/05-order.spec.ts"
"TC-API-ORDER-011","[FR-10] 다른 회원의 주문은 내 주문내역에 보이지 않는다","api","Pass","","","67","api/05-order.spec.ts"
"TC-API-ORDER-R1","장바구니가 비어 있으면 400 EMPTY_CART","api","Pass","","","30","api/05-order.spec.ts"
"TC-API-ORDER-R2","쿠폰 없이 주문하면 201, 정가로 결제된다","api","Pass","","","43","api/05-order.spec.ts"
"TC-API-ORDER-R3","존재하지 않는 쿠폰이면 404 COUPON_NOT_FOUND","api","Pass","","","46","api/05-order.spec.ts"
"TC-API-ORDER-R4","만료된 쿠폰이면 400 COUPON_EXPIRED","api","Pass","","","49","api/05-order.spec.ts"
"TC-API-ORDER-R5","최소 주문금액 미달이면 400 COUPON_MIN_AMOUNT","api","Pass","","","37","api/05-order.spec.ts"
"TC-API-ORDER-R6","모든 조건을 만족하면 201, 할인이 적용된다","api","Pass","","","40","api/05-order.spec.ts"
"TC-API-PROD-001","기본 조회 시 200과 규격에 맞는 목록을 반환한다","api","Pass","","","19","api/03-products.spec.ts"
"TC-API-PROD-002","[경계값] size=0 → 400 (하한 바로 아래)","api","결함확인","BUG-006","BUG-006: size=0이 400으로 거부되지 않고 전체 목록이 반환된다","13","api/03-products.spec.ts"
"TC-API-PROD-003","[경계값] size=1 → 200 (하한 경계)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-004","[경계값] size=50 → 200 (상한 경계)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-005","[경계값] size=51 → 400 (상한 바로 위)","api","Pass","","","14","api/03-products.spec.ts"
"TC-API-PROD-006","[경계값] page=0 → 400 (하한 바로 아래)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-007","[경계값] page=1 → 200 (하한 경계)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-008","[경계값] page=-1 → 400 (음수)","api","Pass","","","11","api/03-products.spec.ts"
"TC-API-PROD-009","마지막 페이지는 남은 건수만 반환한다","api","Pass","","","21","api/03-products.spec.ts"
"TC-API-PROD-010","존재하지 않는 페이지는 빈 배열을 반환한다","api","Pass","","","22","api/03-products.spec.ts"
"TC-API-PROD-011","size에 숫자가 아닌 값을 주면 400을 반환한다","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-012","[동등분할] 검색어 ""Java"" (유효: 정확히 일치)","api","Pass","","","14","api/03-products.spec.ts"
"TC-API-PROD-013","[동등분할] 검색어 ""java"" (유효: 소문자 (대소문자 무시))","api","결함확인","BUG-007","BUG-007: 검색이 대소문자를 구분하여 다른 표기로는 상품을 찾지 못한다","18","api/03-products.spec.ts"
"TC-API-PROD-014","[동등분할] 검색어 ""JAVA"" (유효: 대문자 (대소문자 무시))","api","결함확인","BUG-007","BUG-007: 검색이 대소문자를 구분하여 다른 표기로는 상품을 찾지 못한다","14","api/03-products.spec.ts"
"TC-API-PROD-015","[동등분할] 검색어 ""존재하지않는상품"" (유효: 결과 없음)","api","Pass","","","23","api/03-products.spec.ts"
"TC-API-PROD-016","존재하는 상품은 200과 상품 정보를 반환한다","api","Pass","","","19","api/03-products.spec.ts"
"TC-API-PROD-017","존재하지 않는 상품 id는 404를 반환한다","api","Pass","","","11","api/03-products.spec.ts"
"TC-API-PROD-018","숫자가 아닌 상품 id는 404를 반환한다","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-019","[경계값] page=abc → 400 (숫자가 아님)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-PROD-020","[경계값] page=1.5 → 400 (정수가 아님)","api","Pass","","","12","api/03-products.spec.ts"
"TC-API-SIGNUP-001","유효한 값으로 가입하면 201과 회원 정보를 반환한다","api","Pass","","","248","api/01-signup.spec.ts"
"TC-API-SIGNUP-002","이미 가입된 이메일이면 409를 반환한다","api","Pass","","","246","api/01-signup.spec.ts"
"TC-API-SIGNUP-003","[경계값] 비밀번호 7자 → 400 (하한 경계 바로 아래)","api","Pass","","","198","api/01-signup.spec.ts"
"TC-API-SIGNUP-004","[경계값] 비밀번호 8자 → 201 (하한 경계)","api","Pass","","","187","api/01-signup.spec.ts"
"TC-API-SIGNUP-005","[경계값] 비밀번호 20자 → 201 (상한 경계)","api","Pass","","","17","api/01-signup.spec.ts"
"TC-API-SIGNUP-006","[경계값] 비밀번호 21자 → 400 (상한 경계 바로 위)","api","결함확인","BUG-001","BUG-001: 비밀번호 최대 길이(20자) 검증 누락으로 21자가 가입된다","20","api/01-signup.spec.ts"
"TC-API-SIGNUP-007","[경계값] 나이 13 → 400 (하한 바로 아래)","api","Pass","","","18","api/01-signup.spec.ts"
"TC-API-SIGNUP-008","[경계값] 나이 14 → 201 (하한 경계)","api","Pass","","","17","api/01-signup.spec.ts"
"TC-API-SIGNUP-009","[경계값] 나이 120 → 201 (상한 경계)","api","Pass","","","15","api/01-signup.spec.ts"
"TC-API-SIGNUP-010","[경계값] 나이 121 → 400 (상한 바로 위)","api","결함확인","BUG-002","BUG-002: 나이 상한(120) 검증 누락으로 121이 가입된다","19","api/01-signup.spec.ts"
"TC-API-SIGNUP-011","[동등분할] 이메일 ""valid@example.com"" → 201 (유효: 표준 형식)","api","Pass","","","27","api/01-signup.spec.ts"
"TC-API-SIGNUP-012","[동등분할] 이메일 ""no-at-sign.com"" → 400 (무효: @ 없음)","api","Pass","","","20","api/01-signup.spec.ts"
"TC-API-SIGNUP-013","[동등분할] 이메일 ""@example.com"" → 400 (무효: 로컬부 없음)","api","Pass","","","26","api/01-signup.spec.ts"
"TC-API-SIGNUP-014","[동등분할] 이메일 ""a@b"" → 400 (무효: 도메인에 점 없음)","api","결함확인","BUG-003","BUG-003: 이메일 정규식이 느슨해 도메인에 점이 없어도 통과한다","15","api/01-signup.spec.ts"
"TC-API-SIGNUP-015","[동등분할] 이메일 """" → 400 (무효: 빈 값)","api","Pass","","","13","api/01-signup.spec.ts"
"TC-API-SIGNUP-016","[동등분할] 비밀번호 ""abcdefgh"" → 400 (무효: 숫자 없음)","api","Pass","","","13","api/01-signup.spec.ts"
"TC-API-SIGNUP-017","[동등분할] 비밀번호 ""12345678"" → 400 (무효: 영문 없음)","api","Pass","","","14","api/01-signup.spec.ts"
"TC-API-SIGNUP-018","[동등분할] 비밀번호 ""abcd1234"" → 201 (유효: 영문+숫자)","api","Pass","","","25","api/01-signup.spec.ts"
"TC-API-SIGNUP-019","[동등분할] 나이 누락(undefined) → 400 (필수·정수 위반)","api","Pass","","","62","api/01-signup.spec.ts"
"TC-API-SIGNUP-020","[동등분할] 나이 문자열 ""30"" → 400 (필수·정수 위반)","api","Pass","","","24","api/01-signup.spec.ts"
"TC-API-SIGNUP-021","[동등분할] 나이 소수 30.5 → 400 (필수·정수 위반)","api","Pass","","","67","api/01-signup.spec.ts"
"TC-API-SIGNUP-022","[동등분할] 나이 null → 400 (필수·정수 위반)","api","Pass","","","18","api/01-signup.spec.ts"
"TC-API-SIGNUP-023","[동등분할] 비밀번호 필드가 없으면 400을 반환한다","api","Pass","","","22","api/01-signup.spec.ts"
"TC-API-SIGNUP-024","[동등분할] 나이 문자열 ""abc"" → 400 (필수·정수 위반)","api","Pass","","","15","api/01-signup.spec.ts"
"TC-EXT-AUTH-001","올바른 자격증명이면 토큰을 발급한다","external-api","Pass","","","869","external/api/restful-booker.spec.ts"
"TC-EXT-AUTH-002","잘못된 자격증명이면 401을 반환해야 한다","external-api","결함확인","EXT-BUG-001","EXT-BUG-001: 인증 실패인데 200 OK + {""reason"":""Bad credentials""} 를 반환한다. 클라이언트가 상태코드만 보면 성공으로 오인한다.","944","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-001","예약을 생성하면 201과 생성된 예약을 반환해야 한다","external-api","결함확인","EXT-BUG-002","EXT-BUG-002: 리소스 생성인데 201이 아니라 200을 반환한다 (REST 규약 위반)","905","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-002","생성된 예약은 요청한 내용 그대로 조회된다","external-api","Pass","","","1140","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-003","존재하지 않는 예약은 404를 반환한다","external-api","Pass","","","202","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-004","토큰 없이 수정하면 403을 반환한다","external-api","Pass","","","416","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-005","토큰이 있으면 예약을 수정할 수 있다","external-api","Pass","","","643","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-006","삭제하면 204를 반환해야 한다","external-api","결함확인","EXT-BUG-003","EXT-BUG-003: 삭제 성공에 201 Created + 본문 ""Created"" 를 반환한다. 삭제는 204여야 한다.","603","external/api/restful-booker.spec.ts"
"TC-EXT-BOOK-007","삭제된 예약은 더 이상 조회되지 않는다","external-api","Pass","","","834","external/api/restful-booker.spec.ts"
"TC-EXT-VAL-001","체크아웃이 체크인보다 빠르면 400을 반환해야 한다","external-api","결함확인","EXT-BUG-004","EXT-BUG-004: 체크아웃(1/5)이 체크인(1/10)보다 빠른 예약이 그대로 생성된다. 날짜 순서 검증이 전혀 없다.","220","external/api/restful-booker.spec.ts"
"TC-EXT-VAL-002","필수 필드가 빠지면 400을 반환해야 한다","external-api","결함확인","EXT-BUG-005","EXT-BUG-005: 필수 필드 누락 시 500 Internal Server Error가 발생한다. 입력값 검증 없이 처리하다 서버가 터진 것으로, 400이어야 한다.","226","external/api/restful-booker.spec.ts"
"TC-EXT-VAL-003","[경계값] 총액 0원 예약은 생성할 수 있다","external-api","Pass","","","204","external/api/restful-booker.spec.ts"
"TC-SD-CART-001","상품을 담으면 장바구니 배지 숫자가 증가한다","external-ui","Pass","","","1030","external/ui/saucedemo.spec.ts"
"TC-SD-E2E-001","로그인부터 주문 완료까지 전 과정이 정상 처리된다","external-ui","Pass","","","1270","external/ui/saucedemo.spec.ts"
"TC-SD-E2E-002","배송 정보를 비우고 진행하면 오류가 표시된다","external-ui","Pass","","","1044","external/ui/saucedemo.spec.ts"
"TC-SD-LOGIN-001","[동등분할] 정상 계정 → 로그인 성공","external-ui","Pass","","","4218","external/ui/saucedemo.spec.ts"
"TC-SD-LOGIN-002","[동등분할] 비밀번호 불일치 → 오류 표시","external-ui","Pass","","","4147","external/ui/saucedemo.spec.ts"
"TC-SD-LOGIN-003","[동등분할] 잠금 계정 → 오류 표시","external-ui","Pass","","","4138","external/ui/saucedemo.spec.ts"
"TC-SD-LOGIN-004","[동등분할] 아이디 미입력 → 오류 표시","external-ui","Pass","","","4154","external/ui/saucedemo.spec.ts"
"TC-SD-LOGIN-005","잠금 계정은 잠금 사유를 명확히 안내한다","external-ui","Pass","","","886","external/ui/saucedemo.spec.ts"
"TC-SD-PROD-001","상품이 6건 표시되고 모든 상품에 가격이 있다","external-ui","Pass","","","938","external/ui/saucedemo.spec.ts"
"TC-SD-PROD-002","이름 오름차순(A to Z) 정렬이 올바르다","external-ui","Pass","","","934","external/ui/saucedemo.spec.ts"
"TC-SD-PROD-003","가격 낮은순 정렬이 올바르다","external-ui","Pass","","","1006","external/ui/saucedemo.spec.ts"
"TC-SD-PROD-004","가격 높은순 정렬이 올바르다","external-ui","Pass","","","967","external/ui/saucedemo.spec.ts"
"TC-UI-CART-001","담은 상품이 장바구니에 표시되고 총액이 소계의 합과 같다","ui","Pass","","","511","ui/03-checkout.spec.ts"
"TC-UI-CART-001","담은 상품이 장바구니에 표시되고 총액이 소계의 합과 같다","ui-firefox","Pass","","","1370","ui/03-checkout.spec.ts"
"TC-UI-CART-001","담은 상품이 장바구니에 표시되고 총액이 소계의 합과 같다","ui-webkit","Pass","","","1341","ui/03-checkout.spec.ts"
"TC-UI-CART-002","장바구니에서 삭제하면 목록에서 사라진다","ui","Pass","","","471","ui/03-checkout.spec.ts"
"TC-UI-CART-002","장바구니에서 삭제하면 목록에서 사라진다","ui-firefox","Pass","","","1251","ui/03-checkout.spec.ts"
"TC-UI-CART-002","장바구니에서 삭제하면 목록에서 사라진다","ui-webkit","Pass","","","1476","ui/03-checkout.spec.ts"
"TC-UI-CART-003","빈 장바구니에서 주문하면 오류 메시지가 표시된다","ui","Pass","","","390","ui/03-checkout.spec.ts"
"TC-UI-CART-003","빈 장바구니에서 주문하면 오류 메시지가 표시된다","ui-firefox","Pass","","","932","ui/03-checkout.spec.ts"
"TC-UI-CART-003","빈 장바구니에서 주문하면 오류 메시지가 표시된다","ui-webkit","Pass","","","1101","ui/03-checkout.spec.ts"
"TC-UI-CART-010","상품을 담으면 장바구니에 그 상품 1건이 표시된다","ui","Pass","","","393","ui/04-s33-cart-add.spec.ts"
"TC-UI-CART-010","상품을 담으면 장바구니에 그 상품 1건이 표시된다","ui-firefox","Pass","","","1057","ui/04-s33-cart-add.spec.ts"
"TC-UI-CART-010","상품을 담으면 장바구니에 그 상품 1건이 표시된다","ui-webkit","Pass","","","1364","ui/04-s33-cart-add.spec.ts"
"TC-UI-E2E-001","로그인 → 담기 → 주문 → 주문내역까지 정상 처리된다","ui","Pass","","","564","ui/03-checkout.spec.ts"
"TC-UI-E2E-001","로그인 → 담기 → 주문 → 주문내역까지 정상 처리된다","ui-firefox","Pass","","","1382","ui/03-checkout.spec.ts"
"TC-UI-E2E-001","로그인 → 담기 → 주문 → 주문내역까지 정상 처리된다","ui-webkit","Pass","","","1899","ui/03-checkout.spec.ts"
"TC-UI-E2E-002","쿠폰을 적용하면 할인된 금액으로 결제된다","ui","Pass","","","466","ui/03-checkout.spec.ts"
"TC-UI-E2E-002","쿠폰을 적용하면 할인된 금액으로 결제된다","ui-firefox","Pass","","","930","ui/03-checkout.spec.ts"
"TC-UI-E2E-002","쿠폰을 적용하면 할인된 금액으로 결제된다","ui-webkit","Pass","","","1636","ui/03-checkout.spec.ts"
"TC-UI-E2E-003","할인액이 주문금액보다 커도 음수 금액이 화면에 노출되지 않는다","ui","Pass","","","495","ui/03-checkout.spec.ts"
"TC-UI-E2E-003","할인액이 주문금액보다 커도 음수 금액이 화면에 노출되지 않는다","ui-firefox","Pass","","","1245","ui/03-checkout.spec.ts"
"TC-UI-E2E-003","할인액이 주문금액보다 커도 음수 금액이 화면에 노출되지 않는다","ui-webkit","Pass","","","1626","ui/03-checkout.spec.ts"
"TC-UI-E2E-004","주문하면 주문내역 맨 위에 금액이 그대로 쌓인다","ui","Pass","","","579","ui/05-s40-orders.spec.ts"
"TC-UI-E2E-004","주문하면 주문내역 맨 위에 금액이 그대로 쌓인다","ui-firefox","Pass","","","1299","ui/05-s40-orders.spec.ts"
"TC-UI-E2E-004","주문하면 주문내역 맨 위에 금액이 그대로 쌓인다","ui-webkit","Pass","","","1809","ui/05-s40-orders.spec.ts"
"TC-UI-LOGIN-001","올바른 계정으로 로그인하면 상품 목록으로 이동한다","ui","Pass","","","750","ui/01-login.spec.ts"
"TC-UI-LOGIN-001","올바른 계정으로 로그인하면 상품 목록으로 이동한다","ui-firefox","Pass","","","2905","ui/01-login.spec.ts"
"TC-UI-LOGIN-001","올바른 계정으로 로그인하면 상품 목록으로 이동한다","ui-webkit","Pass","","","1623","ui/01-login.spec.ts"
"TC-UI-LOGIN-002","비밀번호가 틀리면 화면에 오류 메시지가 표시된다","ui","Pass","","","679","ui/01-login.spec.ts"
"TC-UI-LOGIN-002","비밀번호가 틀리면 화면에 오류 메시지가 표시된다","ui-firefox","Pass","","","4508","ui/01-login.spec.ts"
"TC-UI-LOGIN-002","비밀번호가 틀리면 화면에 오류 메시지가 표시된다","ui-webkit","Pass","","","1485","ui/01-login.spec.ts"
"TC-UI-LOGIN-003","잠긴 계정으로 로그인하면 잠금 안내가 표시된다","ui","결함확인","BUG-004","BUG-004: 잠금 계정이 그대로 로그인되어 잠금 안내가 표시되지 않는다","6025","ui/01-login.spec.ts"
"TC-UI-LOGIN-003","잠긴 계정으로 로그인하면 잠금 안내가 표시된다","ui-firefox","결함확인","BUG-004","BUG-004: 잠금 계정이 그대로 로그인되어 잠금 안내가 표시되지 않는다","8051","ui/01-login.spec.ts"
"TC-UI-LOGIN-003","잠긴 계정으로 로그인하면 잠금 안내가 표시된다","ui-webkit","결함확인","BUG-004","BUG-004: 잠금 계정이 그대로 로그인되어 잠금 안내가 표시되지 않는다","6699","ui/01-login.spec.ts"
"TC-UI-LOGIN-004","로그인하지 않고 장바구니에 접근하면 로그인 화면으로 돌아간다","ui","Pass","","","466","ui/01-login.spec.ts"
"TC-UI-LOGIN-004","로그인하지 않고 장바구니에 접근하면 로그인 화면으로 돌아간다","ui-firefox","Pass","","","2691","ui/01-login.spec.ts"
"TC-UI-LOGIN-004","로그인하지 않고 장바구니에 접근하면 로그인 화면으로 돌아간다","ui-webkit","Pass","","","710","ui/01-login.spec.ts"
"TC-UI-PROD-001","[UI-02] 가격이 천 단위 콤마와 ""원"" 단위로 표시된다","ui","Pass","","","521","ui/02-products.spec.ts"
"TC-UI-PROD-001","[UI-02] 가격이 천 단위 콤마와 ""원"" 단위로 표시된다","ui-firefox","Pass","","","3194","ui/02-products.spec.ts"
"TC-UI-PROD-001","[UI-02] 가격이 천 단위 콤마와 ""원"" 단위로 표시된다","ui-webkit","Pass","","","1073","ui/02-products.spec.ts"
"TC-UI-PROD-002","[UI-01] 상품명의 HTML 특수문자가 문자 그대로 표시된다","ui","결함확인","BUG-015","BUG-015: 상품명을 innerHTML로 삽입하여 <div>가 태그로 해석되고 화면에서 사라진다","499","ui/02-products.spec.ts"
"TC-UI-PROD-002","[UI-01] 상품명의 HTML 특수문자가 문자 그대로 표시된다","ui-firefox","결함확인","BUG-015","BUG-015: 상품명을 innerHTML로 삽입하여 <div>가 태그로 해석되고 화면에서 사라진다","1394","ui/02-products.spec.ts"
"TC-UI-PROD-002","[UI-01] 상품명의 HTML 특수문자가 문자 그대로 표시된다","ui-webkit","결함확인","BUG-015","BUG-015: 상품명을 innerHTML로 삽입하여 <div>가 태그로 해석되고 화면에서 사라진다","1081","ui/02-products.spec.ts"
"TC-UI-PROD-003","[보안] 상품명이 실제 DOM 요소로 생성되지 않는다","ui","결함확인","BUG-015","BUG-015: 서버 데이터가 그대로 DOM 요소로 생성된다 (저장형 XSS 취약)","5857","ui/02-products.spec.ts"
"TC-UI-PROD-003","[보안] 상품명이 실제 DOM 요소로 생성되지 않는다","ui-firefox","결함확인","BUG-015","BUG-015: 서버 데이터가 그대로 DOM 요소로 생성된다 (저장형 XSS 취약)","5850","ui/02-products.spec.ts"
"TC-UI-PROD-003","[보안] 상품명이 실제 DOM 요소로 생성되지 않는다","ui-webkit","결함확인","BUG-015","BUG-015: 서버 데이터가 그대로 DOM 요소로 생성된다 (저장형 XSS 취약)","6497","ui/02-products.spec.ts"
"TC-UI-PROD-004","품절 상품은 재고 자리에 ""품절""로 표시된다","ui","Pass","","","412","ui/02-products.spec.ts"
"TC-UI-PROD-004","품절 상품은 재고 자리에 ""품절""로 표시된다","ui-firefox","Pass","","","861","ui/02-products.spec.ts"
"TC-UI-PROD-004","품절 상품은 재고 자리에 ""품절""로 표시된다","ui-webkit","Pass","","","1015","ui/02-products.spec.ts"
"TC-UI-PROD-005","검색어를 입력하면 일치하는 상품만 표시된다","ui","Pass","","","482","ui/02-products.spec.ts"
"TC-UI-PROD-005","검색어를 입력하면 일치하는 상품만 표시된다","ui-firefox","Pass","","","1216","ui/02-products.spec.ts"
"TC-UI-PROD-005","검색어를 입력하면 일치하는 상품만 표시된다","ui-webkit","Pass","","","1259","ui/02-products.spec.ts"
"TC-UI-PROD-006","검색 결과가 없으면 목록이 비어 있다","ui","Pass","","","454","ui/02-products.spec.ts"
"TC-UI-PROD-006","검색 결과가 없으면 목록이 비어 있다","ui-firefox","Pass","","","1323","ui/02-products.spec.ts"
"TC-UI-PROD-006","검색 결과가 없으면 목록이 비어 있다","ui-webkit","Pass","","","1174","ui/02-products.spec.ts"
"TC-UI-PROD-007","상품을 담으면 성공 메시지가 표시된다","ui","Pass","","","502","ui/02-products.spec.ts"
"TC-UI-PROD-007","상품을 담으면 성공 메시지가 표시된다","ui-firefox","Pass","","","966","ui/02-products.spec.ts"
"TC-UI-PROD-007","상품을 담으면 성공 메시지가 표시된다","ui-webkit","Pass","","","1209","ui/02-products.spec.ts"
"TC-UI-PROD-008","[UI-03] 품절 상품을 담으면 오류 메시지가 표시된다","ui","결함확인","BUG-009","BUG-009: 서버가 품절 상품을 그대로 담아 성공 메시지가 표시된다","5929","ui/02-products.spec.ts"
"TC-UI-PROD-008","[UI-03] 품절 상품을 담으면 오류 메시지가 표시된다","ui-firefox","결함확인","BUG-009","BUG-009: 서버가 품절 상품을 그대로 담아 성공 메시지가 표시된다","6365","ui/02-products.spec.ts"
"TC-UI-PROD-008","[UI-03] 품절 상품을 담으면 오류 메시지가 표시된다","ui-webkit","결함확인","BUG-009","BUG-009: 서버가 품절 상품을 그대로 담아 성공 메시지가 표시된다","6575","ui/02-products.spec.ts"
